股票代號,股票名稱,上市日期,上櫃日期,上市櫃
1101,台泥,19620209,,.TW
1102,亞泥,19620608,,.TW
1103,嘉泥,19691114,,.TW
1104,環泥,19710201,,.TW
1108,幸福,19900606,,.TW
1109,信大,19911205,,.TW
1110,東泥,19941022,,.TW
1201,味全,19620209,,.TW
1203,味王,19640824,,.TW
1210,大成,19780520,,.TW
1213,大飲,19810410,,.TW
1215,卜蜂,19870727,,.TW
1216,統一,19871228,,.TW
1217,愛之味,19891028,,.TW
1218,泰山,19891111,,.TW
1219,福壽,19901201,,.TW
1220,台榮,19911120,,.TW
1225,福懋油,19930927,,.TW
1227,佳格,19940409,,.TW
1229,聯華,19760719,,.TW
1231,聯華食,19951102,,.TW
1232,大統益,19960209,,.TW
1233,天仁,19990120,19970318,.TW
1234,黑松,19990312,,.TW
1235,興泰,20000911,,.TW
1236,宏亞,20010917,19980508,.TW
1256,鮮活果汁-KY,20160317,20120905,.TW
1301,台塑,19640727,,.TW
1303,南亞,19671105,,.TW
1304,台聚,19720520,,.TW
1305,華夏,19730305,,.TW
1307,三芳,19851123,,.TW
1308,亞聚,19860620,,.TW
1309,台達化,19860627,,.TW
1310,台苯,19870806,,.TW
1312,國喬,19881221,,.TW
1313,聯成,19890327,,.TW
1314,中石化,19910712,,.TW
1315,達新,19920509,,.TW
1316,上曜,19921015,,.TW
1319,東陽,19941212,,.TW
1321,大洋,19990126,,.TW
1323,永裕,20000911,19960717,.TW
1324,地球,20000911,19971226,.TW
1325,恆大,20000911,19990329,.TW
1326,台化,19841220,,.TW
1337,再生-KY,20110817,,.TW
1338,廣華-KY,20121219,,.TW
1339,昭輝,20120424,,.TW
1340,勝悅-KY,20140114,,.TW
1341,富林-KY,20181224,,.TW
1342,八貫,20201124,,.TW
1402,遠東新,19670414,,.TW
1409,新纖,19730831,,.TW
1410,南染,19731018,,.TW
1413,宏洲,19751223,,.TW
1414,東和,19760202,,.TW
1416,廣豐,19760420,,.TW
1417,嘉裕,19761228,,.TW
1418,東華,19770214,,.TW
1419,新紡,19770314,,.TW
1423,利華,19790402,,.TW
1432,大魯閣,19820726,,.TW
1434,福懋,19851224,,.TW
1435,中福,19871228,,.TW
1436,華友聯,19880411,,.TW
1437,勤益控,19881110,,.TW
1438,三地開發,19881215,,.TW
1439,雋揚,19890522,,.TW
1440,南紡,19891003,,.TW
1441,大東,19891027,,.TW
1442,名軒,19891116,,.TW
1443,立益物流,19900421,,.TW
1444,力麗,19900808,,.TW
1445,大宇,19910205,,.TW
1446,宏和,19911015,,.TW
1447,力鵬,19920128,,.TW
1449,佳和,19920506,,.TW
1451,年興,19921221,,.TW
1452,宏益,19921228,,.TW
1453,大將,19930419,,.TW
1454,台富,19930507,,.TW
1455,集盛,19931007,,.TW
1456,怡華,19931209,,.TW
1457,宜進,19941020,,.TW
1459,聯發,19941026,,.TW
1460,宏遠,19950428,,.TW
1463,強盛,19961205,,.TW
1464,得力,19970118,,.TW
1465,偉全,19970908,,.TW
1466,聚隆,19980404,,.TW
1467,南緯,19981221,,.TW
1468,昶和,19990121,,.TW
1470,大統新創,19990521,,.TW
1471,首利,20000306,19990420,.TW
1472,三洋實業,20000911,19990114,.TW
1473,台南,20000911,,.TW
1474,弘裕,20001031,19990616,.TW
1475,業旺,20001027,,.TW
1476,儒鴻,20010418,,.TW
1477,聚陽,20030121,,.TW
1503,士電,19691215,,.TW
1504,東元,19731105,,.TW
1506,正道,19800811,,.TW
1512,瑞利,19940128,,.TW
1513,中興電,19940308,,.TW
1514,亞力,19940326,,.TW
1515,力山,19950204,,.TW
1516,川飛,19950401,,.TW
1517,利奇,19951114,19950407,.TW
1519,華城,19970416,,.TW
1521,大億,19971006,,.TW
1522,堤維西,19971006,,.TW
1524,耿鼎,19981030,,.TW
1525,江申,19990515,,.TW
1526,日馳,20000327,,.TW
1527,鑽全,20000621,19990112,.TW
1528,恩德,20000911,19980225,.TW
1529,樂事綠能,20000911,19981210,.TW
1530,亞崴,20000911,,.TW
1531,高林股,20000911,19990602,.TW
1532,勤美,20000911,,.TW
1533,車王電,20010406,,.TW
1535,中宇,20010917,20000104,.TW
1536,和大,20010917,20000329,.TW
1537,廣隆,20020122,,.TW
1538,正峰,20020826,19990108,.TW
1539,巨庭,20021029,20010514,.TW
1540,喬福,20020826,19990409,.TW
1541,錩泰,20030319,,.TW
1558,伸興,20141223,20071228,.TW
1560,中砂,20050131,,.TW
1568,倉佑,20140514,,.TW
1582,信錦,20091217,20070111,.TW
1583,程泰,20080124,,.TW
1587,吉茂,20180416,,.TW
1589,永冠-KY,20120427,,.TW
1590,亞德客-KY,20101213,,.TW
1597,直得,20201223,20121228,.TW
1598,岱宇,20160920,,.TW
1603,華電,19680603,,.TW
1604,聲寶,19701214,,.TW
1605,華新,19721103,,.TW
1608,華榮,19880711,,.TW
1609,大亞,19881212,,.TW
1611,中電,19900116,,.TW
1612,宏泰,19930508,,.TW
1614,三洋電,19970918,,.TW
1615,大山,20000330,19980331,.TW
1616,億泰,20000911,19970519,.TW
1617,榮星,20000911,19980428,.TW
1618,合機,20000911,,.TW
1626,艾美特-KY,20130321,,.TW
1701,中化,19620209,,.TW
1702,南僑,19730530,,.TW
1707,葡萄王,19821220,,.TW
1708,東鹼,19860616,,.TW
1709,和益,19860703,,.TW
1710,東聯,19871021,,.TW
1711,永光,19881227,,.TW
1712,興農,19891214,,.TW
1713,國化,19900131,,.TW
1714,和桐,19910830,,.TW
1717,長興,19940331,,.TW
1718,中纖,19631202,,.TW
1720,生達,19951212,,.TW
1721,三晃,19960516,,.TW
1722,台肥,19980324,,.TW
1723,中碳,19981127,,.TW
1725,元禎,20000911,,.TW
1726,永記,20000911,19980624,.TW
1727,中華化,20000911,,.TW
1730,花仙子,20010917,,.TW
1731,美吾華,20010917,,.TW
1732,毛寶,20010917,19991122,.TW
1733,五鼎,20010917,,.TW
1734,杏輝,20020826,20001017,.TW
1735,日勝化,20020826,20001009,.TW
1736,喬山,20030109,,.TW
1737,臺鹽,20031118,,.TW
1752,南光,20220119,20090810,.TW
1760,寶齡富錦,20180123,,.TW
1762,中化生,20101220,,.TW
1773,勝一,20090227,,.TW
1776,展宇,20160509,,.TW
1783,和康生,20131220,,.TW
1786,科妍,20131112,,.TW
1789,神隆,20110929,,.TW
1795,美時,20191216,20100129,.TW
1802,台玻,19730720,,.TW
1805,寶徠,19891020,,.TW
1806,冠軍,19920929,,.TW
1808,潤隆,19941026,,.TW
1809,中釉,19960430,,.TW
1810,和成,19911014,,.TW
1817,凱撒衛,20131024,,.TW
1903,士紙,19631209,,.TW
1904,正隆,19710910,,.TW
1905,華紙,19750207,,.TW
1906,寶隆,19760426,,.TW
1907,永豐餘,19770222,,.TW
1909,榮成,19851119,,.TW
2002,中鋼,19741226,,.TW
2006,東和鋼鐵,19880713,,.TW
2007,燁興,19881004,,.TW
2008,高興昌,19881228,,.TW
2009,第一銅,19891020,,.TW
2010,春源,19891222,,.TW
2012,春雨,19911017,,.TW
2013,中鋼構,19920121,,.TW
2014,中鴻,19920220,,.TW
2015,豐興,19920525,,.TW
2017,官田鋼,19921102,,.TW
2020,美亞,19930427,,.TW
2022,聚亨,19950327,,.TW
2023,燁輝,19950728,,.TW
2024,志聯,19951230,,.TW
2025,千興,19960208,,.TW
2027,大成鋼,19961024,,.TW
2028,威致,19961213,,.TW
2029,盛餘,19970111,,.TW
2030,彰源,19981224,,.TW
2031,新光鋼,20000911,,.TW
2032,新鋼,20000911,,.TW
2033,佳大,20000911,,.TW
2034,允強,20010917,19991016,.TW
2038,海光,20081230,,.TW
2049,上銀,20090626,,.TW
2059,川湖,20080625,20050428,.TW
2062,橋椿,20071116,,.TW
2069,運錩,20160322,,.TW
2101,南港,19631101,,.TW
2102,泰豐,19790716,,.TW
2103,台橡,19820925,,.TW
2104,國際中橡,19860715,,.TW
2105,正新,19871207,,.TW
2106,建大,19901220,,.TW
2107,厚生,19920303,,.TW
2108,南帝,19921027,,.TW
2109,華豐,20000508,19980604,.TW
2114,鑫永銓,20101229,20060928,.TW
2115,六暉-KY,20131225,,.TW
2201,裕隆,19760708,,.TW
2204,中華,19910312,,.TW
2206,三陽工業,19960729,,.TW
2207,和泰車,19970225,,.TW
2208,台船,20081222,,.TW
2211,長榮鋼,20210412,,.TW
2227,裕日車,20041221,,.TW
2228,劍麟,20131125,,.TW
2231,為升,20101119,20090325,.TW
2233,宇隆,20190917,20111114,.TW
2236,百達-KY,20150603,,.TW
2239,英利-KY,20160127,,.TW
2241,艾姆勒,20200826,,.TW
2243,宏旭-KY,20170927,,.TW
2247,汎德永業,20201012,,.TW
2250,IKKA-KY,20210531,,.TW
2301,光寶科,19951117,,.TW
2302,麗正,19850115,,.TW
2303,聯電,19850716,,.TW
2305,全友,19881021,,.TW
2308,台達電,19881219,,.TW
2312,金寶,19891107,,.TW
2313,華通,19900724,,.TW
2314,台揚,19900808,,.TW
2316,楠梓電,19910205,,.TW
2317,鴻海,19910618,,.TW
2321,東訊,19911108,,.TW
2323,中環,19920217,,.TW
2324,仁寶,19920218,,.TW
2327,國巨,19931022,,.TW
2328,廣宇,19931109,,.TW
2329,華泰,19940420,,.TW
2330,台積電,19940905,,.TW
2331,精英,19940921,,.TW
2332,友訊,19941017,,.TW
2337,旺宏,19950315,,.TW
2338,光罩,19950417,,.TW
2340,台亞,19950502,,.TW
2342,茂矽,19950919,,.TW
2344,華邦電,19951018,,.TW
2345,智邦,19951115,,.TW
2347,聯強,19951213,,.TW
2348,海悅,19960105,,.TW
2349,錸德,19960423,,.TW
2351,順德,19960425,,.TW
2352,佳世達,19960722,,.TW
2353,宏碁,19960918,,.TW
2354,鴻準,19961008,,.TW
2355,敬鵬,19961014,,.TW
2356,英業達,19961113,,.TW
2357,華碩,19961114,,.TW
2358,廷鑫,19961218,,.TW
2359,所羅門,19961219,,.TW
2360,致茂,19961221,,.TW
2362,藍天,19970402,,.TW
2363,矽統,19970801,,.TW
2364,倫飛,19970811,,.TW
2365,昆盈,19971103,,.TW
2367,燿華,19971213,,.TW
2368,金像電,19980309,,.TW
2369,菱生,19980410,,.TW
2371,大同,19620209,,.TW
2373,震旦行,19910801,,.TW
2374,佳能,19950116,,.TW
2375,凱美,19980829,,.TW
2376,技嘉,19980924,,.TW
2377,微星,19981031,,.TW
2379,瑞昱,19981026,,.TW
2380,虹光,19981203,,.TW
2382,廣達,19990108,,.TW
2383,台光電,19981127,19961226,.TW
2385,群光,19990105,,.TW
2387,精元,19990125,,.TW
2388,威盛,19990305,,.TW
2390,云辰,19990615,,.TW
2392,正崴,19990920,,.TW
2393,億光,19991104,,.TW
2395,研華,19991213,,.TW
2397,友通,20000115,,.TW
2399,映泰,19991216,,.TW
2401,凌陽,20000127,19970907,.TW
2402,毅嘉,20000114,,.TW
2404,漢唐,20000314,19980216,.TW
2405,輔信,20000317,,.TW
2406,國碩,20000429,,.TW
2408,南亞科,20000817,,.TW
2409,友達,20000908,,.TW
2412,中華電,20001027,,.TW
2413,環科,20000911,19981028,.TW
2414,精技,20000911,19980201,.TW
2415,錩新,20000911,19980113,.TW
2417,圓剛,20000911,19970505,.TW
2419,仲琦,20000911,19981210,.TW
2420,新巨,20000911,,.TW
2421,建準,20000911,,.TW
2423,固緯,20000911,,.TW
2424,隴華,20000911,,.TW
2425,承啟,20000911,19980204,.TW
2426,鼎元,20000911,19981125,.TW
2427,三商電,20000911,,.TW
2428,興勤,20000911,,.TW
2429,銘旺科,20000911,19990402,.TW
2430,燦坤,20000911,19970507,.TW
2431,聯昌,20000911,19970124,.TW
2433,互盛電,20000911,19990603,.TW
2434,統懋,20000911,,.TW
2436,偉詮電,20000911,,.TW
2438,翔耀,20000911,19961223,.TW
2439,美律,20000911,,.TW
2440,太空梭,20001110,,.TW
2441,超豐,20001026,,.TW
2442,新美齊,20001122,,.TW
2443,昶虹,20010103,,.TW
2444,兆勁,20001208,,.TW
2449,京元電子,20010509,,.TW
2450,神腦,20010524,,.TW
2451,創見,20010503,,.TW
2453,凌群,20010522,,.TW
2454,聯發科,20010723,,.TW
2455,全新,20020124,,.TW
2457,飛宏,20010917,20000215,.TW
2458,義隆,20010917,,.TW
2459,敦吉,20010917,,.TW
2460,建通,20010917,20000119,.TW
2461,光群雷,20010917,19991209,.TW
2462,良得電,20010917,,.TW
2464,盟立,20010917,,.TW
2465,麗臺,20010919,,.TW
2466,冠西電,20010917,,.TW
2467,志聖,20010917,,.TW
2468,華經,20010917,19991204,.TW
2471,資通,20010917,,.TW
2472,立隆電,20010917,20000516,.TW
2474,可成,20010917,,.TW
2476,鉅祥,20010917,,.TW
2477,美隆電,20010917,20000223,.TW
2478,大毅,20010917,19990920,.TW
2480,敦陽科,20010917,,.TW
2481,強茂,20010917,,.TW
2482,連宇,20010919,,.TW
2483,百容,20010917,19990902,.TW
2484,希華,20010917,,.TW
2485,兆赫,20010917,19991120,.TW
2486,一詮,20010919,20000321,.TW
2488,漢平,20010917,,.TW
2489,瑞軒,20010917,19991001,.TW
2491,吉祥全,20010919,20000221,.TW
2492,華新科,20010917,19971121,.TW
2493,揚博,20020123,,.TW
2495,普安,20020325,,.TW
2496,卓越,20020308,,.TW
2497,怡利電,20020204,,.TW
2498,宏達電,20020326,,.TW
2501,國建,19671028,,.TW
2504,國產,19780314,,.TW
2505,國揚,19791114,,.TW
2506,太設,19800202,,.TW
2509,全坤建,19880520,,.TW
2511,太子,19910424,,.TW
2514,龍邦,19920926,,.TW
2515,中工,19930302,,.TW
2516,新建,19930525,,.TW
2520,冠德,19931027,,.TW
2524,京城,19941018,,.TW
2527,宏璟,19950306,,.TW
2528,皇普,19950310,,.TW
2530,華建,19951012,,.TW
2534,宏盛,19960212,,.TW
2535,達欣工,19960311,,.TW
2536,宏普,19960314,,.TW
2537,聯上發,19960906,,.TW
2538,基泰,19961101,,.TW
2539,櫻花建,19970716,,.TW
2540,愛山林,19891226,,.TW
2542,興富發,19990503,,.TW
2543,皇昌,19991015,,.TW
2545,皇翔,20000911,,.TW
2546,根基,20000911,19980706,.TW
2547,日勝生,20001222,,.TW
2548,華固,20020826,20000719,.TW
2597,潤弘,20100326,,.TW
2601,益航,19651104,,.TW
2603,長榮,19870921,,.TW
2605,新興,19891208,,.TW
2606,裕民,19901208,,.TW
2607,榮運,19901214,,.TW
2608,嘉里大榮,19901220,,.TW
2609,陽明,19920420,,.TW
2610,華航,19930226,,.TW
2611,志信,19931028,,.TW
2612,中航,19941020,,.TW
2613,中櫃,19950120,,.TW
2614,東森,19950923,,.TW
2615,萬海,19960516,,.TW
2616,山隆,19971108,,.TW
2617,台航,19980624,,.TW
2618,長榮航,20010917,19991027,.TW
2630,亞航,20180222,,.TW
2633,台灣高鐵,20161027,,.TW
2634,漢翔,20140825,,.TW
2636,台驊投控,20161222,20090331,.TW
2637,慧洋-KY,20101201,,.TW
2642,宅配通,20131212,,.TW
2645,長榮航太,20230314,,.TW
2701,萬企,19650322,,.TW
2702,華園,19650214,,.TW
2704,國賓,19821110,,.TW
2705,六福,19881224,,.TW
2706,第一店,19910625,,.TW
2707,晶華,19980309,,.TW
2712,遠雄來,20131203,,.TW
2722,夏都,20120314,,.TW
2723,美食-KY,20101122,,.TW
2727,王品,20120306,,.TW
2731,雄獅,20130924,,.TW
2739,寒舍,20160519,,.TW
2748,雲品,20161123,,.TW
2753,八方雲集,20210909,,.TW
2801,彰銀,19620215,,.TW
2809,京城銀,19830720,,.TW
